Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BAJ,SAA: ACOPIARA,ACOPIARA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,03/12/2019 14:00,03/12/2019 14:20,03/12/2019 15:00,19.000013-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,"2419,6",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: ACOPIARA,ACOPIARA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,03/12/2019 14:00,03/12/2019 14:20,03/12/2019 15:00,19.000013-AJ,RESULTADOS DISPONÍVEIS,Escherichia coli,2,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAJ,SAA: ACOPIARA,ACOPIARA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-03,PRÓXIMO À CAPTAÇÃO,18/12/2019 09:30,18/12/2019 10:30,18/12/2019 11:19,19.000014-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4196E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: ACOPIARA,ACOPIARA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-03,PRÓXIMO À CAPTAÇÃO,18/12/2019 09:30,18/12/2019 10:30,18/12/2019 11:14,19.000014-AJ,RESULTADOS DISPONÍVEIS,Escherichia coli,"75,4",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAJ,SAA: ARNEIROZ,ARNEIROZ,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,PRÓXIMO À CAPTAÇÃO,09/12/2019 09:50,09/12/2019 16:40,09/12/2019 17:30,19.000121-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,Ausência em 100 mL,NÃO,,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: ARNEIROZ,ARNEIROZ,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,PRÓXIMO À CAPTAÇÃO,09/12/2019 09:50,09/12/2019 16:40,09/12/2019 17:30,19.000121-AJ,RESULTADOS DISPONÍVEIS,Escherichia coli,Ausência em 100 mL,NÃO,,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: ASSARÉ,ASSARÉ,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,16/12/2019 20:19,17/12/2019 16:10,17/12/2019 17:20,19.000380-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4196E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: ASSARÉ,ASSARÉ,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,16/12/2019 20:19,17/12/2019 16:10,17/12/2019 17:37,19.000380-AJ,RESULTADOS DISPONÍVEIS,Escherichia coli,"461,1",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAJ,SAA: CAMPOS SALES,CAMPOS SALES,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,09/12/2019 18:14,10/12/2019 16:30,10/12/2019 17:37,19.000411-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,">6,488E2",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAJ,SAA: CAMPOS SALES,CAMPOS SALES,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,09/12/2019 18:14,10/12/2019 16:30,16/12/2019 11:21,19.000411-AJ,RESULTADOS DISPONÍVEIS,Escherichia coli,"3,1",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAJ,SAA: GUASSUSSÊ,GUASSUSSÊ,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,09/12/2019 07:00,09/12/2019 10:40,16/12/2019 11:16,19.000055-AJ,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4196E4",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
