Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,07/03/2019 07:40,07/03/2019 14:50,07/03/2019 16:00,19.000944-BJ,RESULTADOS DISPONÍVEIS,Coliformes totais,"2419,6",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,07/03/2019 07:40,07/03/2019 14:50,07/03/2019 16:00,19.000944-BJ,RESULTADOS DISPONÍVEIS,Cor verdadeira,100,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,07/03/2019 07:40,07/03/2019 14:50,07/03/2019 16:30,19.000944-BJ,RESULTADOS DISPONÍVEIS,Escherichia coli,3,NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,07/03/2019 07:40,07/03/2019 14:50,07/03/2019 16:30,19.000944-BJ,RESULTADOS DISPONÍVEIS,Turbidez,"19,2",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,03/04/2019 07:30,03/04/2019 14:30,03/04/2019 16:30,19.001799-BJ,RESULTADOS DISPONÍVEIS,Coliformes totais,"2419,6",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,03/04/2019 07:30,03/04/2019 14:30,03/04/2019 15:00,19.001799-BJ,RESULTADOS DISPONÍVEIS,Cor verdadeira,50,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,03/04/2019 07:30,03/04/2019 14:30,03/04/2019 16:10,19.001799-BJ,RESULTADOS DISPONÍVEIS,Escherichia coli,"10,9",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,03/04/2019 07:30,03/04/2019 14:30,03/04/2019 16:10,19.001799-BJ,RESULTADOS DISPONÍVEIS,pH,"7,7",NÃO,,"4500-H+ B, SMEWW 22ND ED., 2012",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,03/04/2019 07:30,03/04/2019 14:30,03/04/2019 16:00,19.001799-BJ,RESULTADOS DISPONÍVEIS,Turbidez,"7,7",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",
UN-BBJ,SAA: ALTO SANTO,ALTO SANTO,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,06/05/2019 07:30,06/05/2019 14:40,06/05/2019 16:20,19.002762-BJ,RESULTADOS DISPONÍVEIS,Coliformes totais,"2419,6",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
