Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,10/12/2019 07:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Alcalinidade - Bicarbonatos,"87,25",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,10/12/2019 07:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Alcalinidade - Carbonatos,0,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,10/12/2019 07:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Alcalinidade - Hidróxidos,0,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,28/12/2019 10:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Alumínio Dissolvido,0,NÃO,mg/L,"3500-AL B, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,12/12/2019 10:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Amônia,"2,4",NÃO,mg/L,"350.2, USEPA, 1974",RESOLUÇÃO CONAMA Nº357/05
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,08/01/2020 10:20,19.000168-ME,RECEBIDA NO LABORATÓRIO,Cálcio,15,NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,13/12/2019 08:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Cloreto,"80,55",NÃO,mg/L,"4500-CL- B, SMEWW 22ND ED., 2012",RESOLUÇÃO CONAMA Nº357/05
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,,19.000168-ME,RECEBIDA NO LABORATÓRIO,Cloro residual total,,NÃO,mg/L,,
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,10/12/2019 10:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Coliformes totais,"1203,3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BME,SAA: BATURITÉ,BATURITÉ,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,09/12/2019 09:10,09/12/2019 15:40,09/12/2019 16:00,19.000168-ME,RECEBIDA NO LABORATÓRIO,Condutividade,"279,4",NÃO,uS/cm,"2510 B, SMEWW 22ND ED., 2012",
