Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BSC,SAA: CATUNDA,CATUNDA,"MENSAL (MANANCIAL SUBTERRÂNEO), MENSAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,17/10/2019 08:20,17/10/2019 13:10,17/10/2019 15:32,19.000479-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,"517,2",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,"MENSAL (MANANCIAL SUBTERRÂNEO), MENSAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,17/10/2019 08:20,17/10/2019 13:10,17/10/2019 15:32,19.000479-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Escherichia coli,"4,1",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSC,SAA: CATUNDA,CATUNDA,MENSAL (MANANCIAL SUBTERRÂNEO),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,26/11/2019 16:30,27/11/2019 13:00,27/11/2019 15:30,19.001318-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,">2,4196E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,MENSAL (MANANCIAL SUBTERRÂNEO),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,26/11/2019 16:30,27/11/2019 13:00,27/11/2019 15:30,19.001318-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Escherichia coli,2,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,05/12/2019 17:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Bicarbonatos,"146,48",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,05/12/2019 17:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Carbonatos,"12,21",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,05/12/2019 17:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Hidróxidos,AUSENTE,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,20/12/2019 15:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alumínio Dissolvido,0,NÃO,mg/L,"3500-AL B, SMEWW 23RD ED., 2017",
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,17/12/2019 16:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Amônia,"<0,10",NÃO,mg/L,"4500-NH3 D, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSC,SAA: CATUNDA,CATUNDA,SEMESTRAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,PRÓXIMO À CAPTAÇÃO,05/12/2019 09:00,05/12/2019 12:00,05/12/2019 17:00,19.001694-PA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cálcio,"34,69",NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
