Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Cloro residual total,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Fluoreto,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Materiais Flutuantes,,NÃO,,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Nitrato,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Nitrito,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Potássio,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,,,19.000008-LC,PROGRAMADA,Sódio,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Bicarbonatos,"32,07",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Carbonatos,AUSENTE,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Hidróxidos,AUSENTE,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,11/04/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Alumínio,"0,06",NÃO,mg/L,"3500-AL B, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Amônia,,NÃO,mg/L,,
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,08/04/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Cálcio,"5,66",NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Cloreto,"11,98",NÃO,mg/L,"4500-CL- B, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,26/03/2019 17:30,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,">2,4192E3",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 09:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Condutividade,"89,22",NÃO,uS/cm,"2510 B, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,27/03/2019 09:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Cor verdadeira,"2,5",NÃO,uH,"2120 B, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,08/04/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Dureza total,"32,32",NÃO,mg/L,"2340 C, SMEWW 23RD ED., 2017",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,26/03/2019 17:29,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Escherichia coli,">2,4192E3",NÃO,NMP/100 mL,"9223, SMEWW 22ND ED., 2012",RESOLUÇÃO CONAMA Nº357/05
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,15/04/2019 10:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Ferro,"0,11",NÃO,mg/L,"3500-FE B, SMEWW 22ND ED., 2012",
UN-BSI,SAA: GRAÇA,GRAÇA,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,CAPTAÇÃO,26/03/2019 09:32,26/03/2019 16:44,08/04/2019 08:00,19.000018-AC,RELATÓRIO DE ENSAIO CONCLUÍDO,Magnésio,"4,36",NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
