Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2152871-A/2152871/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 01,ACARAÚ,166561,PT 1 de Acaraú (Água Bruta),UNBAC-ACARAÚ,UN-BAC - ACARAÚ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",2,0,"9,1359","9,14",10000000,23/01/2019,23/01/2019,0
N?  2152872-A/2152872/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 02,ACARAÚ,166581,PT 2 de Acaraú (Água Bruta),UNBAC-ACARAÚ,UN-BAC - ACARAÚ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",3,0,"7,1057","7,11",10000000,23/01/2019,23/01/2019,0
N?  2152873-A/2152873/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 03,ACARAÚ,166601,PT 3 de Acaraú (Água Bruta),UNBAC-ACARAÚ,UN-BAC - ACARAÚ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",4,0,"9,1359","9,14",10000000,23/01/2019,23/01/2019,0
N?  2152976-A/2152976/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,PT - 02,CRUZ,166641,PT 2 de Cruz (Água Bruta),UNBAC-CRUZ,UN-BAC - CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",4,0,0,Ausente,10000000,23/01/2019,23/01/2019,0
N?  2152978-A/2152978/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,PT - 03,CRUZ,166661,PT 3 de Cruz (Água Bruta),UNBAC-CRUZ,UN-BAC - CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",5,0,"4,0604","4,06",10000000,23/01/2019,23/01/2019,0
N?  2152874-A/2152874/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 04,ACARAÚ,166621,PT 4 de Acaraú (Água Bruta),UNBAC-ACARAÚ,UN-BAC - ACARAÚ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",5,0,"8,1208","8,12",10000000,23/01/2019,23/01/2019,0
N?  2152998-A/2152998/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,PT - 04,CRUZ,166681,PT 4 de Cruz (Água Bruta),UNBAC-CRUZ,UN-BAC - CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",6,0,0,Ausente,10000000,23/01/2019,23/01/2019,0
N?  2153000-A/2153000/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,PT - 06,CRUZ,166683,PT 6 de Cruz (Água Bruta),UNBAC-CRUZ,UN-BAC - CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",7,0,0,Ausente,10000000,23/01/2019,23/01/2019,0
N?  2152875-A/2152875/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 07,ACARAÚ,325203,PT 7 de Acaraú (Água Bruta),UNBAC-ACARAÚ,UNBAC - ACARAÚ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",7,0,"22,3322","22,33",10000000,23/01/2019,23/01/2019,0
N?  2153002-A/2153002/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,PT - 07,CRUZ,166682,PT 7 de Cruz (Água Bruta),UNBAC-CRUZ,UN-BAC - CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",8,0,0,Ausente,10000000,23/01/2019,23/01/2019,0
N?  2152930-A/2152930/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 01,BELA CRUZ,298582,PT - 1,UNBAC-BELA CRUZ,UN-BAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",10,0,"61,9211","61,92",10000000,23/01/2019,23/01/2019,0
N?  2152932-A/2152932/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 02,BELA CRUZ,298583,PT 02,UNBAC-BELA CRUZ,UN-BAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",11,0,"88,3137","88,31",10000000,23/01/2019,23/01/2019,0
N?  2152934-A/2152934/UN-BAC,UN-BAC,Água Bruta Classe 2,Semestral,Direto do poço,PT - 07,BELA CRUZ,186166,UNBAC - ETA BELA CRUZ - ÁGUA BRUTA,UNBAC-BELA CRUZ,UNBAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",12,0,"95,4194","95,42",1000000,23/01/2019,23/01/2019,0
N?  2152937-A/2152937/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 08,BELA CRUZ,166921,PT 8 de Bela Cruz (Água Bruta),UNBAC-BELA CRUZ,UN-BAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",13,0,"86,2835","86,28",10000000,23/01/2019,23/01/2019,0
N?  2152942-A/2152942/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 09,BELA CRUZ,166922,PT 9 de Bela Cruz (Água Bruta),UNBAC-BELA CRUZ,UN-BAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",14,0,"88,3137","88,31",10000000,23/01/2019,23/01/2019,0
N?  2152946-A/2152946/UN-BAC,UN-BAC,Água Bruta Classe 2,Semestral,Direto do poço,PT - 10,BELA CRUZ,186163,UNBAC - ETA BELA CRUZ - ÁGUA BRUTA,UNBAC-BELA CRUZ,UNBAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",15,0,"91,359","91,36",1000000,23/01/2019,23/01/2019,0
N?  2152948-A/2152948/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 11,BELA CRUZ,166924,PT 11 de Bela Cruz (Água Bruta),UNBAC-BELA CRUZ,UN-BAC - BELA CRUZ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",16,0,"72,0721","72,07",10000000,23/01/2019,23/01/2019,0
N?  2162463-A/2162463/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 01,JERICOACOARA,273222,PT 1 de Jericoacoara (Água Bruta),UNBAC-JERICOACOARA,UN-BAC - JERICOACOARA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",18,0,"35,0735","35,07",10000000,20/02/2019,20/02/2019,0
N?  2162464-A/2162464/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 02,JERICOACOARA,166761,PT 2 de Jericoacoara (Água Bruta),UNBAC-JERICOACOARA,UN-BAC - JERICOACOARA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",19,0,"42,0882","42,09",10000000,20/02/2019,20/02/2019,0
N?  2162465-A/2162465/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 03,JERICOACOARA,166762,PT 3 de Jericoacoara (Água Bruta),UNBAC-JERICOACOARA,UN-BAC - JERICOACOARA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",20,0,"63,1323","63,13",10000000,20/02/2019,20/02/2019,0
N?  2162466-A/2162466/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 05,JERICOACOARA,166764,PT 5 de Jericoacoara (Água Bruta),UNBAC-JERICOACOARA,UN-BAC - JERICOACOARA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",22,0,"39,0819","39,08",10000000,20/02/2019,20/02/2019,0
N?  2162467-A/2162467/UN-BAC,UN-BAC,Água Bruta,Semestral,Direto do poço,PT - 06,JERICOACOARA,166765,PT 6 de Jericoacoara (Água Bruta),UNBAC-JERICOACOARA,UN-BAC - JERICOACOARA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",23,0,"43,0903","43,09",10000000,20/02/2019,20/02/2019,0
N?  2162452-A/2162452/UN-BAC,UN-BAC,Água Bruta,Completa,Torneira de entrada,Rio Acaraú,FORQUILHA,303722,Rio Acaraú (Água Bruta),UNBAC-FORQUILHA,UNBAC,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",103,0,"84,1764","84,18",10000000,20/02/2019,20/02/2019,0
