Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2147529-A/2147529/UN-BSC,UN-BSC,Água Bruta Classe 2,Semestral,Tomada d'água do açude,Açude São Francisco,CRATEÚS,172007,SDO (Represa),UNBPA-CRATEUS,UNBPA - CRATEÚS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2274,0,"102,52","102,52",1000000,08/01/2019,08/01/2019,0
N?  2147531-A/2147531/UN-BSC,UN-BSC,Água Bruta Classe 2,Semestral,Tomada d'água do açude,Açude São Francisco,CRATEÚS,154456,SDO - Balneário,UNBPA-CRATEUS,UNBPA - Crateús,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2275,0,"102,52","102,52",1000000,08/01/2019,08/01/2019,0
N?  2147533-A/2147533/UN-BSC,UN-BSC,Água Bruta Classe 2,Semestral,Tomada d'água do açude,Açude São Francisco,CRATEÚS,189865,SDO - Parede do açude,UNBPA-CRATEUS,UN-BPA - CRATEÚS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2276,0,"102,52","102,52",1000000,08/01/2019,08/01/2019,0
N?  2212783-A/2212783/UN-BSC,UN-BSC,Água Bruta,COGERH,Tomada d'água do açude,Açude João José de Castro,SUCESSO,239624,Ponto SUC-01 Amost. 51273,COGERH,COGERH/UNBPA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2366,0,96,96,10000000,29/01/2019,29/01/2019,0
N?  2212792-A/2212792/UN-BSC,UN-BSC,Água Bruta,Completa,Tomada d'água do açude,Barragem do Batalhão,CRATEÚS,223961,Ponto BBA-01 Amost. 51.269,COGERH,COGERH,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2367,0,130,130,10000000,29/01/2019,29/01/2019,0
N?  2212808-A/2212808/UN-BSC,UN-BSC,Água Bruta,Completa,Tomada d'água do açude,Açude Jaburu,UBAJARA,328862,Ponto JB1-10 - Amost.51281,COGERH,COGERH/UNBPA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2369,0,33,33,10000000,30/01/2019,30/01/2019,0
N?  2212895-A/2212895/UN-BSC,UN-BSC,Água Bruta,Completa,Tomada d'água do açude,Açude Carnaubal,CRATEÚS,203443,Ponto CRN - 01 - Amost. 51.237,COGERH,UN BPA / COGERH,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2370,0,129,129,10000000,31/01/2019,31/01/2019,0
N?  2212890-A/2212890/UN-BSC,UN-BSC,Água Bruta,Completa,Tomada d'água do açude,Açude Jaburu II,INDEPENDÊNCIA,212641,Ponto JB2-01 Amost. 51.249,COGERH,COGERH / UNBPA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2371,0,108,108,10000000,31/01/2019,31/01/2019,0
N?  2212899-A/2212899/UN-BSC,UN-BSC,Água Bruta,Particular,Tomada d'água do açude,Açude São José III,IPAPORANGA,203445,Ponto SJ3 - 01 Amost. 51.233,COGERH,UN BPA / COGERH,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2450,0,97,97,10000000,19/02/2019,19/02/2019,0
N?  2212905-A/2212905/UN-BSC,UN-BSC,Água Bruta Classe 2,Completa,Tomada de água do açude,Açude Colinas,QUITERIANÓPOLIS,286282,Ponto COL-01 Amost. 51.253,COGERH,COGERH/UNBPA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2451,0,100,100,1000000,20/02/2019,20/02/2019,0
