Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",3032,0,"79,1659","79,17",10000000,13/02/2019,14/02/2019,0,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",3058,0,"134,2814","134,28",10000000,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 22nd Ed., 2012",3089,0,"0,70147","0,7",10000000,16/04/2019,17/04/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Alcalinidade - Carbonatos,"2320 B, SMEWW 22nd Ed., 2012",3032,0,0,Ausente,10000000,13/02/2019,14/02/2019,0,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Alcalinidade - Carbonatos,"2320 B, SMEWW 22nd Ed., 2012",3058,0,0,Ausente,10000000,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Alcalinidade - Carbonatos,"2320 B, SMEWW 22nd Ed., 2012",3089,0,0,Ausente,10000000,16/04/2019,17/04/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 22nd Ed., 2012",3032,0,0,Ausente,10000000,13/02/2019,14/02/2019,0,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Alcalinidade - Hidróxidos,"2320 B, SMEWW 22nd Ed., 2012",3058,0,0,Ausente,10000000,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Alcalinidade - Hidróxidos,"2320 B, SMEWW 22nd Ed., 2012",3089,0,0,Ausente,10000000,16/04/2019,17/04/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3032,0,"0,03","0,03",10000000,13/02/2019,14/02/2019,0,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3058,0,"0,05","0,05",10000000,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3089,0,"0,16","0,16",10000000,16/04/2019,17/04/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Amônia - Nesslerização,"350.2, USEPA, 1974",3032,0,"0,02","0,02",10000000,13/02/2019,14/02/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3032,0,"13,73736","13,74",10000000,13/02/2019,14/02/2019,0,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3058,0,"33,13128","33,13",10000000,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3089,0,"8,0808","8,08",10000000,16/04/2019,17/04/2019,0,
N?  2162362-A/2162362/UN-BSI,UN-BSI,Água Bruta,Semestral,Saída do poço,PT - 02,PIRES FERREIRA,326286,Travessa João Inácio,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3032,0,"114,77","114,77",250,13/02/2019,14/02/2019,0,
