Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2232168-A/2232168/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à captação de água bruta,Barragem do Quincoê,ACOPIARA,220581,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",0,0,"170,29","170,29",1000000,09/10/2019,09/10/2019,0
N?  2223537-A/2223537/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à captação de água bruta,Açude Raimundo Moraes,ACOPIARA,246662,Captação - Açude Raimundo Moraes,UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",0,0,"157,68","157,68",1000000,04/09/2019,04/09/2019,0
N?  2237275-A/2237275/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,220581,"Barragem do Quincoê - Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",4,0,"193,42","193,42",1000000,11/11/2019,11/11/2019,0
N?  2223538-A/2223538/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à captação de água bruta,Açude do Trussu,ACOPIARA,246642,Captação - Açude do Trussu,UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",4,0,"199,73","199,73",1000000,04/09/2019,04/09/2019,0
N?  2223742-A/2223742/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude do Trussu e Açude Raimundo Moraes,ACOPIARA,223086,,UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",5,0,"180,81","180,81",1000000,04/09/2019,04/09/2019,0
N?  2223541-A/2223541/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída do tratamento,Poço Arco da Santa,ACOPIARA,310904,"Arco da Santa (água tratada) - Avenida José Marques Filho, S/N",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",6,0,"336,38","336,38",1000000,04/09/2019,04/09/2019,0
N?  2223543-A/2223543/UN-BAJ,UN-BAJ,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude do Trussu e Açude Raimundo Moraes,ACOPIARA,326467,Convívio da Terceira Idade - Av. Pedro Alves,UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",7,0,"182,91","182,91",1000000,04/09/2019,04/09/2019,0
N?  2223179-A/2223179/UN-BAJ,UN-BAJ,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Canal do Orós - Lima Campos,GUASSUSSÊ,277524,"Bar do Coqueiro - Rua José do Norte, s/n",UNBAJ - GUASSUSSÊ,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",22,0,"142,96","142,96",1000000,04/09/2019,04/09/2019,0
N?  2223181-A/2223181/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à captação de água bruta,Canal do Orós - Lima Campos,GUASSUSSÊ,220501,Canal do Orós/ Lima Campos - Vila Guassussê,UNBAJ - GUASSUSSÊ,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",24,0,"142,96","142,96",1000000,04/09/2019,04/09/2019,0
N?  2223182-A/2223182/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Canal do Orós - Lima Campos,GUASSUSSÊ,46811,"Rua da ETA, s/n - Bairro Alto do Cruzeiro",UNBAJ - GUASSUSSÊ,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",25,0,"140,86","140,86",1000000,04/09/2019,04/09/2019,0
