Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",9790,0,"260,7","260,7",10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",9800,0,"537,1","537,1",10000000,02/09/2019,02/09/2019,0
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",9790,0,0,Ausente,10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",9800,0,0,Ausente,10000000,02/09/2019,02/09/2019,0
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",9790,0,0,Ausente,10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",9800,0,0,Ausente,10000000,02/09/2019,02/09/2019,0
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",9790,0,0,ND,10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",9800,0,0,ND,10000000,02/09/2019,02/09/2019,0
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Amônia - Nesslerização,"350.2, USEPA, 1974",9790,0,"1,17","1,17",10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Amônia - Nesslerização,"350.2, USEPA, 1974",9800,0,"0,2","0,2",10000000,02/09/2019,02/09/2019,0
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",9790,0,"231,9","231,9",10000000,02/09/2019,02/09/2019,0
N?  2221855-A/2221855/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,ITATIRA,329583,POÇO - Lagoa do Mato,UN BBA - ITATIRA,Geisson Mesquita Silva,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",9800,0,"57,8","57,8",10000000,02/09/2019,02/09/2019,0
N?  2226169-A/2226169/UN-BBA,UN-BBA,Água Tratada Saída Sistema,ARCE,Torneira de saída da ETA,Açude Pompeu Sobrinho,CHORO,329882,Rua Joaquim Moreira - Centro,UNBBA-CHORO,ARCE (UN-BBA),Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2000,0,197,197,250,17/09/2019,17/09/2019,0
N?  2227389-A/2227389/UN-BBA,UN-BBA,Água Tratada Saída Sistema,ARCE,Torneira de saída da ETA,Açude Patu,SENADOR POMPEU,329962,"Rua Geminiano de Oliveira, nº 78, Pavãozinho",UNBBA-SENADOR POMPEU,ARCE (UN-BBA),Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2000,0,"86,37","86,37",250,19/09/2019,20/09/2019,0
N?  2221710-A/2221710/UN-BBA,UN-BBA,Água Bruta,Particular,Torneira após Poço,Poço Profundo,QUIXADÁ,329566,Floresta - Daniel de Queiroz,UNBBA-QUIXADÁ (AMOSTRAS PARTICULARES),COMDEC,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",9770,0,"1603,1","1603,1",250,02/09/2019,02/09/2019,1
N?  2221713-A/2221713/UN-BBA,UN-BBA,Água Bruta,Particular,Torneira após Poço,Poço Profundo,QUIXADÁ,329567,Areias - Daniel de Queiroz,UNBBA-QUIXADÁ (AMOSTRAS PARTICULARES),COMDEC,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",9780,0,"4696,3","4696,3",250,02/09/2019,02/09/2019,1
N?  2221853-A/2221853/UN-BBA,UN-BBA,Água Bruta,Completa,Torneira após Poço,Poço Profundo,CAPISTRANO,329582,POÇO - Conjunto Esperança,UNBBA-CAPISTRANO,UNBBA,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",9790,0,"1682,4","1682,4",250,02/09/2019,02/09/2019,1
