Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3615,0,"71,4816","71,48",10000000,12/09/2019,12/09/2019,0,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3616,0,"8,4096","8,41",10000000,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3617,0,"69,3792","69,38",10000000,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3618,0,"149,2704","149,27",10000000,12/09/2019,12/09/2019,0,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3619,0,"4,2048","4,2",10000000,12/09/2019,12/09/2019,0,,
N?  2227787-A/2227787/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Lagoa das Quintas,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3620,0,"33,6384","33,64",10000000,12/09/2019,12/09/2019,0,,
N?  2226819-A/2226819/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 01,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3621,0,"29,4336","29,43",10000000,12/09/2019,12/09/2019,0,,
N?  2226825-A/2226825/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Açude Brotas,BROTAS,329923,-Água Bruta - Açude de Brotas,Extras,UNBCL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3622,0,"109,3248","109,32",10000000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3623,0,"52,56","52,56",10000000,17/09/2019,17/09/2019,0,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3615,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3616,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3617,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3618,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3619,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227787-A/2227787/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Lagoa das Quintas,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3620,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226819-A/2226819/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 01,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3621,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226825-A/2226825/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Açude Brotas,BROTAS,329923,-Água Bruta - Açude de Brotas,Extras,UNBCL,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3622,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",3623,0,0,Ausente,10000000,17/09/2019,17/09/2019,0,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3615,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3616,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3617,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3618,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3619,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2227787-A/2227787/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Lagoa das Quintas,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3620,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226819-A/2226819/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 01,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3621,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2226825-A/2226825/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Açude Brotas,BROTAS,329923,-Água Bruta - Açude de Brotas,Extras,UNBCL,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3622,0,0,Ausente,10000000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",3623,0,0,Ausente,10000000,17/09/2019,17/09/2019,0,,
