Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2239633-A/2239633/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,"80,3868","80,39",1000000,03/12/2019,03/12/2019,0
N?  2222209-A/2222209/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,68,68,1000000,03/09/2019,03/09/2019,0
N?  2232506-A/2232506/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,"76,3192","76,32",1000000,15/10/2019,15/10/2019,0
N?  2236479-A/2236479/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,"77,5352","77,54",1000000,05/11/2019,05/11/2019,0
N?  2236482-A/2236482/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,"59,1716","59,17",1000000,05/11/2019,05/11/2019,0
N?  2232519-A/2232519/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,"60,252","60,25",1000000,15/10/2019,15/10/2019,0
N?  2224506-A/2224506/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,54,54,1000000,10/09/2019,10/09/2019,0
N?  2239635-A/2239635/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,"59,7748","59,77",1000000,03/12/2019,03/12/2019,0
N?  2239637-A/2239637/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,"78,3256","78,33",1000000,03/12/2019,03/12/2019,0
N?  2222214-A/2222214/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,68,68,1000000,03/09/2019,03/09/2019,0
N?  2236484-A/2236484/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,"75,4948","75,49",1000000,05/11/2019,05/11/2019,0
N?  2232525-A/2232525/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,"74,3108","74,31",1000000,15/10/2019,15/10/2019,0
N?  2232527-A/2232527/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,"62,2604","62,26",1000000,15/10/2019,15/10/2019,0
N?  2236486-A/2236486/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do recalque,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,"61,212","61,21",1000000,05/11/2019,05/11/2019,0
N?  2222217-A/2222217/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,74,74,1000000,03/09/2019,03/09/2019,0
N?  2239639-A/2239639/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,"61,836","61,84",1000000,03/12/2019,03/12/2019,0
N?  2236479-A/2236479/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
N?  2222209-A/2222209/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,03/09/2019,03/09/2019,0
N?  2239633-A/2239633/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,03/12/2019,03/12/2019,0
N?  2232506-A/2232506/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2239635-A/2239635/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,03/12/2019,03/12/2019,0
N?  2224506-A/2224506/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,10/09/2019,10/09/2019,0
N?  2236482-A/2236482/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
N?  2232519-A/2232519/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2227803-A/2227803/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,23/09/2019,23/09/2019,0
N?  2236484-A/2236484/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
N?  2232525-A/2232525/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2239637-A/2239637/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,0,Ausente,1000000,03/12/2019,03/12/2019,0
N?  2222214-A/2222214/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta da ETA Oeste,Açude Gavião,CAUCAIA,184101,ETA OESTE - ÁGUA BRUTA,ETA OESTE,UN-MPA - ETA OESTE,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",102,0,0,Ausente,1000000,03/09/2019,03/09/2019,0
N?  2222217-A/2222217/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,0,Ausente,1000000,03/09/2019,03/09/2019,0
N?  2232527-A/2232527/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2239639-A/2239639/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada da ETA piloto,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,0,Ausente,1000000,03/12/2019,03/12/2019,0
N?  2236486-A/2236486/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do recalque,Açude Gavião,CAUCAIA,182661,ETA OESTE - ÁGUA TRATADA,ETA OESTE,UN-MPA - CAUCAIA,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",103,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
N?  2239633-A/2239633/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,03/12/2019,03/12/2019,0
N?  2232506-A/2232506/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2222209-A/2222209/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação de água bruta,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,03/09/2019,03/09/2019,0
N?  2236479-A/2236479/UN-MPA,UN-MPA,Água Bruta Classe 2,Completa,Captação,Açude Gavião,PACATUBA,125801,ETA GAVIÃO - ÁGUA BRUTA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",100,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
N?  2232519-A/2232519/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,15/10/2019,15/10/2019,0
N?  2236482-A/2236482/UN-MPA,UN-MPA,Água Tratada Saída Sistema,Completa,Torneira de água tratada do laboratório,Açude Gavião,PACATUBA,125821,ETA GAVIÃO - ÁGUA TRATADA,GAVIÃO,UN-MPA - PACATUBA,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",101,0,0,Ausente,1000000,05/11/2019,05/11/2019,0
