Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 14:30,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Bicarbonatos,"126,76",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 14:30,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Carbonatos,"20,78",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 14:30,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alcalinidade - Hidróxidos,0,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,15/01/2020 12:00,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Alumínio Dissolvido,0,NÃO,mg/L,"3500-AL B, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 10:15,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Amônia,"0,4",NÃO,mg/L,"350.2, USEPA, 1974",RESOLUÇÃO CONAMA Nº357/05
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,14/01/2020 15:00,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cálcio,"35,81",NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,10/01/2020 13:35,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cloreto,"209,4",NÃO,mg/L,"4500-CL- B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,08/01/2020 06:15,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cloro residual total,AUSENTE,NÃO,mg/L,"1015, SMEWW 13TH ED., 1971",RESOLUÇÃO CONAMA Nº357/05
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 11:00,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,">2,4196E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BBA,SAA: CAPISTRANO,CAPISTRANO,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,DIRETO DO MANANCIAL,08/01/2020 06:15,08/01/2020 17:20,09/01/2020 10:35,19.003353-BA,RELATÓRIO DE ENSAIO CONCLUÍDO,Condutividade,"895,4",NÃO,uS/cm,"2510 B, SMEWW 23RD ED., 2017",
