Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,29/01/2020 16:52,19.003231-CL,RESULTADOS DISPONÍVEIS,Alcalinidade - Bicarbonatos,"155,49",NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,29/01/2020 16:52,19.003231-CL,RESULTADOS DISPONÍVEIS,Alcalinidade - Carbonatos,0,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,29/01/2020 16:52,19.003231-CL,RESULTADOS DISPONÍVEIS,Alcalinidade - Hidróxidos,0,NÃO,mg/L,"2320 B, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,03/02/2020 11:30,19.003231-CL,RESULTADOS DISPONÍVEIS,Alumínio Dissolvido,"0,01",NÃO,mg/L,"3500-AL B, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,30/01/2020 03:20,19.003231-CL,RESULTADOS DISPONÍVEIS,Amônia,"<0,10",NÃO,mg/L,"4500-NH3 D, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,29/01/2020 10:20,19.003231-CL,RESULTADOS DISPONÍVEIS,Cálcio,"37,72",NÃO,mg/L,"3500-CA B, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,10/02/2020 09:45,19.003231-CL,RESULTADOS DISPONÍVEIS,Cloreto,"108,28",NÃO,mg/L,"4500-CL- B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,27/01/2020 07:10,19.003231-CL,RESULTADOS DISPONÍVEIS,Cloro residual total,AUSENTE,NÃO,mg/L,"1015, SMEWW 13TH ED., 1971",RESOLUÇÃO CONAMA Nº357/05
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,27/01/2020 17:30,19.003231-CL,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4196E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BCL,SAA: APUIARÉS,APUIARÉS,"MENSAL (MANANCIAL SUPERFICIAL), SEMESTRAL (MANANCIAL SUPERFICIAL)",MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,CAPTAÇÃO,27/01/2020 07:10,27/01/2020 16:00,28/01/2020 11:30,19.003231-CL,RESULTADOS DISPONÍVEIS,Condutividade,"635,1",NÃO,uS/cm,"2510 B, SMEWW 23RD ED., 2017",
