Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,06/01/2021 08:15,06/01/2021 15:30,06/01/2021 16:55,20.013628-AC,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,06/01/2021 08:15,06/01/2021 15:30,07/01/2021 08:30,20.013628-AC,RESULTADOS DISPONÍVEIS,Cor verdadeira,10,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,06/01/2021 08:15,06/01/2021 15:30,06/01/2021 17:00,20.013628-AC,RESULTADOS DISPONÍVEIS,Escherichia coli,<1,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,06/01/2021 08:15,06/01/2021 15:30,06/01/2021 16:30,20.013628-AC,RESULTADOS DISPONÍVEIS,pH,"6,57",NÃO,,"4500-H+ B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ENTRADA NA ETA,06/01/2021 08:15,06/01/2021 15:30,22/01/2021 00:00,20.013628-AC,RESULTADOS DISPONÍVEIS,Turbidez,"1,4",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,TORNEIRA DE ENTRADA NA ETA,03/02/2021 08:45,03/02/2021 14:30,03/02/2021 16:50,21.000093-AC,RESULTADOS DISPONÍVEIS,Coliformes totais,">2,4E3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,TORNEIRA DE ENTRADA NA ETA,03/02/2021 08:45,03/02/2021 14:30,04/02/2021 08:30,21.000093-AC,RESULTADOS DISPONÍVEIS,Cor verdadeira,10,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,TORNEIRA DE ENTRADA NA ETA,03/02/2021 08:45,03/02/2021 14:30,03/02/2021 16:50,21.000093-AC,RESULTADOS DISPONÍVEIS,Escherichia coli,"6,1",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,TORNEIRA DE ENTRADA NA ETA,03/02/2021 08:45,03/02/2021 14:30,03/02/2021 15:30,21.000093-AC,RESULTADOS DISPONÍVEIS,pH,"6,78",NÃO,,"4500-H+ B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BAC,SAA: ALCÂNTARAS,ALCÂNTARAS,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-02,TORNEIRA DE ENTRADA NA ETA,03/02/2021 08:45,03/02/2021 14:30,04/02/2021 08:30,21.000093-AC,RESULTADOS DISPONÍVEIS,Turbidez,"6,84",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
