Cliente,Sistema,Localidade,Objetivos de coleta,Natureza da amostra,Ponto de coleta,Ponto de amostragem,Data da coleta,Data de recebimento,Data da análise,Código da amostra,Status da amostra,Parâmetro,Resultado,Fora do padrão,Unidade de medida,Método,Legislação
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,07/01/2021 07:40,07/01/2021 16:00,07/01/2021 16:45,20.026917-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,10540,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,07/01/2021 07:40,07/01/2021 16:00,08/01/2021 08:30,20.026917-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cor aparente,15,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,07/01/2021 07:40,07/01/2021 16:00,07/01/2021 16:45,20.026917-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Escherichia coli,"6,3",NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,07/01/2021 07:40,07/01/2021 16:00,07/01/2021 07:40,20.026917-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,pH,"8,2",NÃO,,"4500-H+ B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,07/01/2021 07:40,07/01/2021 16:00,07/01/2021 16:30,20.026917-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Turbidez,"1,49",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,04/02/2021 07:00,04/02/2021 16:00,04/02/2021 16:45,21.001043-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Coliformes totais,13540,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,04/02/2021 07:00,04/02/2021 16:00,05/02/2021 08:30,21.001043-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Cor aparente,15,NÃO,uH,"2120 B, SMEWW 23RD ED., 2017",
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,04/02/2021 07:00,04/02/2021 16:00,04/02/2021 16:45,21.001043-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Escherichia coli,2,NÃO,NMP/100 mL,"9223, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,04/02/2021 07:00,04/02/2021 16:00,04/02/2021 07:00,21.001043-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,pH,"7,6",NÃO,,"4500-H+ B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
UN-BSA,SAA: ALTANEIRA,ALTANEIRA,MENSAL (MANANCIAL SUPERFICIAL),MANANCIAL SUPERFICIAL,Captação superficial: CAPTAÇÃO SUPERFICIAL CS-01,TORNEIRA DE ÁGUA BRUTA,04/02/2021 07:00,04/02/2021 16:00,04/02/2021 16:30,21.001043-SA,RELATÓRIO DE ENSAIO CONCLUÍDO,Turbidez,"2,09",NÃO,uT,"1030 B-2 E 2130 B, SMEWW 23RD ED., 2017",RESOLUÇÃO CONAMA Nº357/05
