"Date","Tox","type"
"2010-9-01",0.15,"mc"
"2010-9-15",0.15,"mc"
"2010-10-01",0.15,"mc"
"2010-10-15",0.15,"mc"
"2010-11-01",0.15,"mc"
"2010-11-15",0.15,"mc"
"2010-12-01",0.15,"mc"
"2010-12-15",0.15,"mc"
"2011-1-01",0.15,"mc"
"2011-1-15",0.15,"mc"
"2011-2-01",0.15,"mc"
"2011-2-15",0.15,"mc"
"2011-3-01",0.15,"mc"
"2011-3-15",0.15,"mc"
"2011-4-01",0.15,"mc"
"2011-4-15",0.15,"mc"
"2011-5-01",0.15,"mc"
"2011-5-15",0.4,"mc"
"2011-6-01",0.15,"mc"
"2011-6-15",0.15,"mc"
"2011-7-01",NA,"mc"
"2011-7-15",0.15,"mc"
"2011-8-01",0.15,"mc"
"2011-8-15",0.15,"mc"
"2011-9-01",NA,"mc"
"2011-9-15",0.15,"mc"
"2011-10-01",0.15,"mc"
"2011-10-15",0.15,"mc"
"2011-11-01",0.4,"mc"
"2011-11-15",0.15,"mc"
"2011-12-01",0.15,"mc"
"2011-12-15",0.2,"mc"
"2012-1-01",0.4,"mc"
"2012-1-15",1,"mc"
"2012-2-01",1,"mc"
"2012-2-15",0.4,"mc"
"2012-3-01",0.4,"mc"
"2012-3-15",1,"mc"
"2012-4-01",0.4,"mc"
"2012-4-15",0.4,"mc"
"2012-5-01",0.4,"mc"
"2012-5-15",0.15,"mc"
"2012-6-01",0.15,"mc"
"2012-6-15",0.4,"mc"
"2012-7-01",0.39,"mc"
"2012-7-15",0.28,"mc"
"2012-8-01",0.21,"mc"
"2012-8-15",0.15,"mc"
"2012-9-01",0.17,"mc"
"2012-9-15",0.16,"mc"
"2012-10-01",0.15,"mc"
"2012-10-15",0.15,"mc"
"2012-11-01",0.17,"mc"
"2012-11-15",0.2,"mc"
"2012-12-01",0.19,"mc"
"2012-12-15",0.16,"mc"
"2013-1-01",0.22,"mc"
"2013-1-15",0.15,"mc"
"2013-2-01",0.2,"mc"
"2013-2-15",0.32,"mc"
"2013-3-01",0.15,"mc"
"2013-3-15",0.21,"mc"
"2013-4-01",0.16,"mc"
"2013-4-15",0.17,"mc"
"2013-5-01",0.29,"mc"
"2013-5-15",0.24,"mc"
"2013-6-01",0.15,"mc"
"2013-6-15",0.26,"mc"
"2013-7-01",0.25,"mc"
"2013-7-15",0.15,"mc"
"2013-8-01",0.17,"mc"
"2013-8-15",0.15,"mc"
"2013-9-01",0.15,"mc"
"2013-9-15",0.15,"mc"
"2013-10-01",0.15,"mc"
"2013-10-15",0.15,"mc"
"2013-11-01",0.15,"mc"
"2013-11-15",0.15,"mc"
"2013-12-01",0.15,"mc"
"2013-12-15",0.15,"mc"
"2014-1-01",0.15,"mc"
"2014-1-15",0.23,"mc"
"2014-2-01",0.15,"mc"
"2014-2-15",0.15,"mc"
"2014-3-01",0.17,"mc"
"2014-3-15",0.15,"mc"
"2014-4-01",0.2,"mc"
"2014-4-15",0.15,"mc"
"2014-5-01",0.15,"mc"
"2014-5-15",0.16,"mc"
"2014-6-01",0.15,"mc"
"2014-6-15",0.15,"mc"
"2014-7-01",0.15,"mc"
"2014-7-15",0.15,"mc"
"2014-8-01",0.99,"mc"
"2014-8-15",0.15,"mc"
"2014-9-01",0.15,"mc"
"2014-9-15",0.19,"mc"
"2014-10-01",0.15,"mc"
"2014-10-15",0.15,"mc"
"2014-11-01",0.15,"mc"
"2014-11-15",0.15,"mc"
"2014-12-01",0.15,"mc"
"2014-12-15",0.15,"mc"
"2015-1-01",0.15,"mc"
"2015-1-15",0.15,"mc"
"2015-2-01",0.15,"mc"
"2015-2-15",0.15,"mc"
"2015-3-01",0.31,"mc"
"2015-3-15",0.15,"mc"
"2015-4-01",0.15,"mc"
"2015-4-15",0.15,"mc"
"2015-5-01",0.15,"mc"
"2015-5-15",0.15,"mc"
"2015-6-01",0.15,"mc"
"2015-6-15",0.15,"mc"
"2015-7-01",0.15,"mc"
"2015-7-15",0.77,"mc"
"2015-8-01",0.15,"mc"
"2015-8-15",0.4,"mc"
"2015-9-01",0.4,"mc"
"2015-9-15",0.15,"mc"
"2015-10-01",0.15,"mc"
"2015-10-15",0.4,"mc"
"2015-11-01",0.15,"mc"
"2015-11-15",0.19,"mc"
"2015-12-01",0.4,"mc"
"2015-12-15",0.18,"mc"
"2016-1-01",0.4,"mc"
"2016-1-15",0.15,"mc"
"2016-2-01",0.18,"mc"
"2016-2-15",0.16,"mc"
"2016-3-01",0.4,"mc"
"2016-3-15",0.4,"mc"
"2016-4-01",0.4,"mc"
"2016-4-15",0.25,"mc"
"2016-5-01",0.4,"mc"
"2016-5-15",0.4,"mc"
"2016-6-01",0.4,"mc"
"2016-6-15",0.15,"mc"
"2016-7-01",0.4,"mc"
