Data Medicao;EVAPORACAO DO PICHE. DIARIA(mm);INSOLACAO TOTAL. DIARIO(h);PRECIPITACAO TOTAL. DIARIO(mm);TEMPERATURA MAXIMA. DIARIA(°C);TEMPERATURA MEDIA COMPENSADA. DIARIA(°C);TEMPERATURA MINIMA. DIARIA(°C);UMIDADE RELATIVA DO AR. MEDIA DIARIA(%);VENTO. VELOCIDADE MEDIA DIARIA(m/s)
01/01/1960;;;;;;;;
02/01/1960;;;;;;;;
03/01/1960;;;;;;;;
04/01/1960;;;;;;;;
05/01/1960;;;;;;;;
06/01/1960;;;;;;;;
07/01/1960;;;;;;;;
08/01/1960;;;;;;;;
09/01/1960;;;;;;;;
10/01/1960;;;;;;;;
11/01/1960;;;;;;;;
12/01/1960;;;;;;;;
13/01/1960;;;;;;;;
14/01/1960;;;;;;;;
15/01/1960;;;;;;;;
16/01/1960;;;;;;;;
17/01/1960;;;;;;;;
18/01/1960;;;;;;;;
19/01/1960;;;;;;;;
20/01/1960;;;;;;;;
21/01/1960;;;;;;;;
22/01/1960;;;;;;;;
23/01/1960;;;;;;;;
24/01/1960;;;;;;;;
25/01/1960;;;;;;;;
26/01/1960;;;;;;;;
27/01/1960;;;;;;;;
28/01/1960;;;;;;;;
29/01/1960;;;;;;;;
30/01/1960;;;;;;;;
31/01/1960;;;;;;;;
01/02/1960;;;;;;;;
02/02/1960;;;;;;;;
03/02/1960;;;;;;;;
04/02/1960;;;;;;;;
05/02/1960;;;;;;;;
06/02/1960;;;;;;;;
07/02/1960;;;;;;;;
08/02/1960;;;;;;;;
09/02/1960;;;;;;;;
10/02/1960;;;;;;;;
11/02/1960;;;;;;;;
12/02/1960;;;;;;;;
13/02/1960;;;;;;;;
14/02/1960;;;;;;;;
15/02/1960;;;;;;;;
16/02/1960;;;;;;;;
17/02/1960;;;;;;;;
18/02/1960;;;;;;;;
19/02/1960;;;;;;;;
20/02/1960;;;;;;;;
21/02/1960;;;;;;;;
22/02/1960;;;;;;;;
23/02/1960;;;;;;;;
24/02/1960;;;;;;;;
25/02/1960;;;;;;;;
26/02/1960;;;;;;;;
27/02/1960;;;;;;;;
28/02/1960;;;;;;;;
29/02/1960;;;;;;;;
01/03/1960;;;;;;;;
02/03/1960;;;;;;;;
03/03/1960;;;;;;;;
04/03/1960;;;;;;;;
05/03/1960;;;;;;;;
06/03/1960;;;;;;;;
07/03/1960;;;;;;;;
08/03/1960;;;;;;;;
09/03/1960;;;;;;;;
10/03/1960;;;;;;;;
11/03/1960;;;;;;;;
12/03/1960;;;;;;;;
13/03/1960;;;;;;;;
14/03/1960;;;;;;;;
15/03/1960;;;;;;;;
16/03/1960;;;;;;;;
17/03/1960;;;;;;;;
18/03/1960;;;;;;;;
19/03/1960;;;;;;;;
20/03/1960;;;;;;;;
21/03/1960;;;;;;;;
22/03/1960;;;;;;;;
23/03/1960;;;;;;;;
24/03/1960;;;;;;;;
25/03/1960;;;;;;;;
26/03/1960;;;;;;;;
27/03/1960;;;;;;;;
28/03/1960;;;;;;;;
29/03/1960;;;;;;;;
30/03/1960;;;;;;;;
31/03/1960;;;;;;;;
01/04/1960;;;;;;;;
02/04/1960;;;;;;;;
03/04/1960;;;;;;;;
04/04/1960;;;;;;;;
05/04/1960;;;;;;;;
06/04/1960;;;;;;;;
07/04/1960;;;;;;;;
08/04/1960;;;;;;;;
09/04/1960;;;;;;;;
10/04/1960;;;;;;;;
11/04/1960;;;;;;;;
12/04/1960;;;;;;;;
13/04/1960;;;;;;;;
14/04/1960;;;;;;;;
15/04/1960;;;;;;;;
16/04/1960;;;;;;;;
17/04/1960;;;;;;;;
18/04/1960;;;;;;;;
19/04/1960;;;;;;;;
20/04/1960;;;;;;;;
21/04/1960;;;;;;;;
22/04/1960;;;;;;;;
23/04/1960;;;;;;;;
24/04/1960;;;;;;;;
25/04/1960;;;;;;;;
26/04/1960;;;;;;;;
27/04/1960;;;;;;;;
28/04/1960;;;;;;;;
29/04/1960;;;;;;;;
30/04/1960;;;;;;;;
01/05/1960;;;;;;;;
02/05/1960;;;;;;;;
03/05/1960;;;;;;;;
04/05/1960;;;;;;;;
05/05/1960;;;;;;;;
06/05/1960;;;;;;;;
07/05/1960;;;;;;;;
08/05/1960;;;;;;;;
09/05/1960;;;;;;;;
10/05/1960;;;;;;;;
11/05/1960;;;;;;;;
12/05/1960;;;;;;;;
13/05/1960;;;;;;;;
14/05/1960;;;;;;;;
15/05/1960;;;;;;;;
16/05/1960;;;;;;;;
17/05/1960;;;;;;;;
18/05/1960;;;;;;;;
19/05/1960;;;;;;;;
20/05/1960;;;;;;;;
21/05/1960;;;;;;;;
22/05/1960;;;;;;;;
23/05/1960;;;;;;;;
24/05/1960;;;;;;;;
25/05/1960;;;;;;;;
26/05/1960;;;;;;;;
27/05/1960;;;;;;;;
28/05/1960;;;;;;;;
29/05/1960;;;;;;;;
30/05/1960;;;;;;;;
31/05/1960;;;;;;;;
01/06/1960;;;;;;;;
02/06/1960;;;;;;;;
03/06/1960;;;;;;;;
04/06/1960;;;;;;;;
05/06/1960;;;;;;;;
06/06/1960;;;;;;;;
07/06/1960;;;;;;;;
08/06/1960;;;;;;;;
09/06/1960;;;;;;;;
10/06/1960;;;;;;;;
11/06/1960;;;;;;;;
12/06/1960;;;;;;;;
13/06/1960;;;;;;;;
14/06/1960;;;;;;;;
15/06/1960;;;;;;;;
16/06/1960;;;;;;;;
17/06/1960;;;;;;;;
18/06/1960;;;;;;;;
19/06/1960;;;;;;;;
