"","DATA","COLETA","MICROCISTINAS","SAXITOXINAS","CILINDROSPERMOPSINA","Bacillariophyta","Cryptomonas sp.","Cylindrospermopsis raciborskii","Pseudanabaena sp","Aulacoseira granulata","Monoraphidium contortum","Aphanizomenon sp.","Dictyosphaerium sp.","Chroococcales","Planktothrix agardhii","Staurastrum sp.","Scenedesmus sp.","Aphanocapsa sp.","Tetraedron minimum","Geitlerinema sp.","Trachelomonas sp.","Planktolyngbya limnetica","Closterium sp.","Cyclotella sp.","Peridinium sp.","Sem Registro","Dolichospermum sp.","Merismopedia sp.","Desmodesmus sp.","Actinastrum sp.","Coelastrum sp.","Planktolyngbya sp.","Coelastrum pseudomicroporum","Oocystis sp.","Crucigenia sp.","Nephrocytium sp.","Micractinium sp.","Microcystis sp.","Anagnostidinema amphibium","Pseudanabaenaceae","Pseudanabaena cf. acicularis","Synechococcales","Pseudanabaena cf. raphidioides","Cylindrospermopsis phillippinensis","Phormidiaceae","Lagerheimia sp.","Chlorococcales","Coelomoron sp.","Aulacoseira sp.","Tetraedron sp.","Monactinus simplex","Merismopedia tenuissima","Synechocystis sp.","Euglena sp.","Euglenophyta","Botryococcus sp.","Cosmarium sp.","Crucigeniella sp.","Actinochloris sphaerica","Anabaenopsis sp.","Schroederia sp.","Coelastrum microporum","Romeria sp.","Coelastrum reticulatum","Chlamydomonas sp.","Kirchneriella sp.","Isthmochloron lobulatum","Planktothrix sp.","Tetraedron caudatum","Xantophyceae","Crucigenia tetrapedia","Anabaena sp.","Aphanocapsa delicatissima","Phacus sp.","Lagerheimia ciliata","Monoraphidium griffithii","Microcystis aeruginosa","Raphidiopsis sp.","Microcystis brasiliense","Stauridium tetras","Golenkinia sp.","Desmidiaceae","Fitoflagelado","Ankyra sp.","Chlorophyceae","Sphaerocavum sp.","Eucapsis sp.","Tetrastrum sp.","Coelosphaerium sp.","Komvophoron sp.","Scenedesmaceae","Limnococcus sp.","Anabaena/Aphanizomenon sp.","Pannus sp.","Cuspidothrix sp.","Planktothrix isothrix","Ankistrodesmus bibraianus","Microcystis protocystis","Tetrastrum heterocanthum","Cylindrospermopsis/Raphidiopsis sp.","Ankistrodesmus sp.","Cylindrospermopsis catemaco","Lepocinclis sp.","Strombomonas sp.","Tetraplektron sp.","Tetraplektron torsum","Pediastrum duplex","Phormidium sp.","Micractinaceae","Closteriopsis sp.","Dicloster sp.","Volvocales","Centritractus belanophorus","Treubaria sp.","Anathece sp.","Eudorina sp.","Pseudostaurastrum lobulatum","Microcystis panniformis","Paradoxia multiseta","Pseudanabaena mucicola","Quadrigulla sp.","Rhizosolenia sp.","Trachelomonas armata","Epigloesphaera sp.","Ophiocytium sp.","Radiocystis sp.","Snowella sp.","Chlamydophyceae","Euglena acus","Phacus longicauda","Microcystis weisenbergii","Mougeotia sp.","Aphanocapsa spp.","Euastrum sp.","Merismopedia glauca","Nostocaceae","Pediastrum sp.","Pediastrum tetras","Planktolyngbya contorta","Ankistrodesmus spiralis","Arthrospira sp.","Chlorella sp.","Coelastrum cf. microporum","Cuspidothrix issatschenkoi","Euglenophyceae","Staurodesmus sp.","Tetradinium sp.","Tetrallantos sp.","Trichodesmium iwanoffianum","Zygnemaphyceae","Aphanizomenonaceae","Chroococcus sp.","Cryptophyceae","Cymbella sp.","Dinobryon sp.","Dolichospermum spiroides","Geitlerinema splendidum","Golenkinia/Golenkiniopsis sp.","Onychonema sp.","Oscillatoria sp.","Oscillatoriaceae","Oscillatoriales","Pediastrum simplex","Phacus torta","Planktothricoides raciborskii","Planktothricoides sp.","Pseudanabaena galeata","Pseudoanabaena cf. galeata","Spirogyra sp.","Woronichinia sp."
"2010-01-04","2010-01-04","Acude Gaviao","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-01-05","2010-01-05","Acude Gaviao","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-01-12","2010-01-12","Acude Gaviao","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-08-30","2010-08-30","Acude Gaviao","","","","     351.00","     234.00","   21060.00",NA,NA,"     117.00",NA,NA,NA," 1024920.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    6786.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-01","2010-09-01","Acude Gaviao","","","","     466.80",NA,"    8558.00",NA,NA,"     233.40",NA,NA,"    2022.80"," 1119153.00",NA,NA,NA,NA,NA,NA,NA,NA,"      77.80",NA,NA,NA,"    1867.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     933.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-07","2010-09-07","Acude Gaviao","","","","     152.40","      76.20","    3810.00",NA,"     152.40",NA,NA,NA,"   12801.60","  768096.00",NA,NA,NA,NA,"    2286.00",NA,NA,NA,NA,NA,NA,NA,"   10195.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     762.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-08","2010-09-08","Acude Gaviao","< 0,15","< 0,02","< 0,1","     523.20","      65.40","   11772.00",NA,NA,"     261.60","    4512.60","     523.20","    3394.20"," 1067328.00",NA,NA,NA,NA,"     654.00",NA,NA,NA,NA,NA,NA,NA,"    1569.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    3400.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-14","2010-09-14","Acude Gaviao","","","","      60.50","     121.00","   10890.00",NA,"     363.00",NA,"    1647.00","     658.80","    6655.00","  446490.00",NA,NA,NA,NA,"     549.00","     121.00",NA,"      60.50","      54.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-20","2010-09-20","Acude Gaviao","","","","     233.40","     389.00","    5446.00",NA,"     311.20","     233.40","    1478.20",NA,NA,"  854244.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    2474.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    6224.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-09-21","2010-09-21","Acude Gaviao","< 0,15","< 0,02","< 0,05","     238.80",NA,"    8756.00",NA,"     159.20",NA,NA,NA,NA,"  993408.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    1751.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    4776.00",NA,NA,NA,NA,NA,NA,"     796.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
